Sound ID,Sound Rank,Loudness,Sharpness,Roughness,Prominence Ratio,Loudness [sones],Sharpness [acum],Roughness [asper],Prominence Ratio [PR],Q1,Q2,Q3,Q4,Loudness Norm,Sharpness Norm,Roughness Norm,Prom Ratio Norm,Q1 Norm,Q2 Norm,Q3 Norm,Q4 Norm,Q1 Ave,Q2 Ave,Q3 Ave,Q4 Ave,Q1 Norm Ave,Q2 Norm Ave,Q3 Norm Ave,Q4 Norm Ave
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,5,5.4,,84,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.224406099,0.796864837,-2.668737259,1.587734662,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,2,2.1,2.4,28,-1.204057561,-1.155001925,0.623479632,-0.980716256,-1.459220474,-0.982160748,-1.225179887,-0.417317803,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,7,,7,15,-1.204057561,-1.155001925,0.623479632,-0.980716256,1.346823815,-2.114267939,1.541638409,-0.882776411,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,6.3,1.8,5.7,13,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.953977614,-1.143890347,0.759711499,-0.954385428,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,6.1,2.7,4,50,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.841735843,-0.658701551,-0.262808306,0.370381379,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,2,6.1,3,79,-1.204057561,-1.155001925,0.623479632,-0.980716256,-1.459220474,1.1742339,-0.864290544,1.40871212,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,5.7,2,5.8,,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.6172523,-1.036070614,0.819859723,-1.419844036,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,7,1,7,0,-1.204057561,-1.155001925,0.623479632,-0.980716256,1.346823815,-1.575169277,1.541638409,-1.419844036,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,4.3,3.1,5.8,36,-1.204057561,-1.155001925,0.623479632,-0.980716256,-0.168440101,-0.443062086,0.819859723,-0.130881737,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,3.2,4,3.2,66,-1.204057561,-1.155001925,0.623479632,-0.980716256,-0.785769845,0.04212671,-0.743994096,0.943253512,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,2.1,5.7,2.4,72,-1.204057561,-1.155001925,0.623479632,-0.980716256,-1.403099588,0.958594435,-1.225179887,1.158080562,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,2,6.7,2.6,86,-1.204057561,-1.155001925,0.623479632,-0.980716256,-1.459220474,1.497693097,-1.104883439,1.659343678,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,6.5,,6.6,5,-1.204057561,-1.155001925,0.623479632,-0.980716256,1.066219386,-2.114267939,1.301045514,-1.240821494,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,4.1,4.2,4.1,50,-1.204057561,-1.155001925,0.623479632,-0.980716256,-0.280681873,0.149946442,-0.202660082,0.370381379,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,4.7,5,2.8,20,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.056043442,0.581225372,-0.984586992,-0.70375387,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,6,2.1,4,29,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.785614957,-0.982160748,-0.262808306,-0.381513295,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,5.6,2.6,5.9,20,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.561131414,-0.712611417,0.880007947,-0.70375387,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,5.4,3.7,4.1,35,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.448889642,-0.119602889,-0.202660082,-0.166686245,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,5.1,3.5,6,20,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.280526985,-0.227422621,0.940156171,-0.70375387,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,6,2.8,5.9,15,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.785614957,-0.604791685,0.880007947,-0.882776411,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,5.1,3,4.7,8,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.280526985,-0.496971952,0.158229261,-1.133407969,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,5,3.7,4.5,16,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.224406099,-0.119602889,0.037932813,-0.846971903,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,4.8,2.2,4.8,7,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.112164328,-0.928250882,0.218377485,-1.169212478,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,2,6.2,2.3,15,-1.204057561,-1.155001925,0.623479632,-0.980716256,-1.459220474,1.228143766,-1.285328111,-0.882776411,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,6.1,3.6,5.6,19,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.841735843,-0.173512755,0.699563276,-0.739558378,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,6,6,6.2,25,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.785614957,1.120324034,1.060452619,-0.524731328,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,3.8,3.4,4.1,22,-1.204057561,-1.155001925,0.623479632,-0.980716256,-0.44904453,-0.281332488,-0.202660082,-0.632144853,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,6.9,1.7,6.6,13,-1.204057561,-1.155001925,0.623479632,-0.980716256,1.290702929,-1.197800213,1.301045514,-0.954385428,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,4.5,4,4,56,-1.204057561,-1.155001925,0.623479632,-0.980716256,-0.056198329,0.04212671,-0.262808306,0.585208429,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,2.7,3.6,2.8,33,-1.204057561,-1.155001925,0.623479632,-0.980716256,-1.066374273,-0.173512755,-0.984586992,-0.238295262,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,5.1,2.4,4.8,13,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.280526985,-0.82043115,0.218377485,-0.954385428,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,4.7,,6,,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.056043442,-2.114267939,0.940156171,-1.419844036,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,1.1,7,1.1,98,-1.204057561,-1.155001925,0.623479632,-0.980716256,-1.964308446,1.659422696,-2.007106797,2.088997778,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,6.6,2,6.3,6,-1.204057561,-1.155001925,0.623479632,-0.980716256,1.122340272,-1.036070614,1.120600842,-1.205016986,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,6.4,1.5,6,16,-1.204057561,-1.155001925,0.623479632,-0.980716256,1.0100985,-1.305619946,0.940156171,-0.846971903,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,5.1,2.4,6.1,18,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.280526985,-0.82043115,1.000304395,-0.775362886,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,5,4,5,17,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.224406099,0.04212671,0.338673933,-0.811167395,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,6.4,2.7,6.1,13,-1.204057561,-1.155001925,0.623479632,-0.980716256,1.0100985,-0.658701551,1.000304395,-0.954385428,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,4.5,3.3,4.7,41,-1.204057561,-1.155001925,0.623479632,-0.980716256,-0.056198329,-0.335242354,0.158229261,0.048140805,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,4.8,1.9,5.2,23,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.112164328,-1.089980481,0.45897038,-0.596340345,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,3,5.1,3,40,-1.204057561,-1.155001925,0.623479632,-0.980716256,-0.898011616,0.635135238,-0.864290544,0.012336296,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,3,5.5,3,69,-1.204057561,-1.155001925,0.623479632,-0.980716256,-0.898011616,0.850774703,-0.864290544,1.050667037,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,4.1,3,4,20,-1.204057561,-1.155001925,0.623479632,-0.980716256,-0.280681873,-0.496971952,-0.262808306,-0.70375387,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,6.4,1.6,6.2,0,-1.204057561,-1.155001925,0.623479632,-0.980716256,1.0100985,-1.251710079,1.060452619,-1.419844036,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,7,1.1,7,1,-1.204057561,-1.155001925,0.623479632,-0.980716256,1.346823815,-1.52125941,1.541638409,-1.384039528,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,5.3,5.9,3.1,27,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.392768757,1.066414168,-0.80414232,-0.453122312,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,5.1,2.7,4.5,10,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.280526985,-0.658701551,0.037932813,-1.061798953,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,5.5,3,5.8,13,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.505010528,-0.496971952,0.819859723,-0.954385428,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
