Sound ID,Sound Rank,Loudness,Sharpness,Roughness,Prominence Ratio,Loudness [sones],Sharpness [acum],Roughness [asper],Prominence Ratio [PR],Q1,Q2,Q3,Q4,Loudness Norm,Sharpness Norm,Roughness Norm,Prom Ratio Norm,Q1 Norm,Q2 Norm,Q3 Norm,Q4 Norm
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,5,3,5,20,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.224406099,-0.496971952,0.338673933,-0.70375387
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,7,,6.7,,-1.204057561,-1.155001925,0.623479632,-0.980716256,1.346823815,-2.114267939,1.361193738,-1.419844036
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,6,1.6,5.4,15,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.785614957,-1.251710079,0.579266828,-0.882776411
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,1.6,6.2,2.1,69,-1.204057561,-1.155001925,0.623479632,-0.980716256,-1.683704017,1.228143766,-1.405624559,1.050667037
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,5,2,5,31,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.224406099,-1.036070614,0.338673933,-0.309904278
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,,,,,-1.204057561,-1.155001925,0.623479632,-0.980716256,-2.581638189,-2.114267939,-2.668737259,-1.419844036
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,3.5,5.6,3,62,-1.204057561,-1.155001925,0.623479632,-0.980716256,-0.617407187,0.904684569,-0.864290544,0.800035479
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,6,2.1,5.7,27,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.785614957,-0.982160748,0.759711499,-0.453122312
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,3.8,4.1,4.7,73,-1.204057561,-1.155001925,0.623479632,-0.980716256,-0.44904453,0.096036576,0.158229261,1.19388507
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,3.5,5,3,63,-1.204057561,-1.155001925,0.623479632,-0.980716256,-0.617407187,0.581225372,-0.864290544,0.835839987
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,7,,7,,-1.204057561,-1.155001925,0.623479632,-0.980716256,1.346823815,-2.114267939,1.541638409,-1.419844036
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,5.1,3.8,4.1,43,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.280526985,-0.065693023,-0.202660082,0.119749821
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,4.1,4,4,51,-1.204057561,-1.155001925,0.623479632,-0.980716256,-0.280681873,0.04212671,-0.262808306,0.406185888
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,2.8,4.1,3.7,42,-1.204057561,-1.155001925,0.623479632,-0.980716256,-1.010253388,0.096036576,-0.443252977,0.083945313
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,3,3,4,40,-1.204057561,-1.155001925,0.623479632,-0.980716256,-0.898011616,-0.496971952,-0.262808306,0.012336296
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,7,1,7,0,-1.204057561,-1.155001925,0.623479632,-0.980716256,1.346823815,-1.575169277,1.541638409,-1.419844036
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,5,1.5,6,20,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.224406099,-1.305619946,0.940156171,-0.70375387
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,,,,,-1.204057561,-1.155001925,0.623479632,-0.980716256,-2.581638189,-2.114267939,-2.668737259,-1.419844036
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,7,1.3,7,,-1.204057561,-1.155001925,0.623479632,-0.980716256,1.346823815,-1.413439678,1.541638409,-1.419844036
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,4.4,2.5,5.2,13,-1.204057561,-1.155001925,0.623479632,-0.980716256,-0.112319215,-0.766521283,0.45897038,-0.954385428
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,3.9,6,3,67,-1.204057561,-1.155001925,0.623479632,-0.980716256,-0.392923644,1.120324034,-0.864290544,0.97905802
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,5.1,4,6,28,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.280526985,0.04212671,0.940156171,-0.417317803
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,6.5,1.9,6.5,2,-1.204057561,-1.155001925,0.623479632,-0.980716256,1.066219386,-1.089980481,1.24089729,-1.348235019
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,7,3,3.5,5,-1.204057561,-1.155001925,0.623479632,-0.980716256,1.346823815,-0.496971952,-0.563549425,-1.240821494
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,7,,7,,-1.204057561,-1.155001925,0.623479632,-0.980716256,1.346823815,-2.114267939,1.541638409,-1.419844036
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,4.9,4.5,4.4,22,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.168285214,0.311676041,-0.02221541,-0.632144853
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,3.1,3.3,4.5,56,-1.204057561,-1.155001925,0.623479632,-0.980716256,-0.84189073,-0.335242354,0.037932813,0.585208429
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,7,,7,,-1.204057561,-1.155001925,0.623479632,-0.980716256,1.346823815,-2.114267939,1.541638409,-1.419844036
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,6.3,1.1,6.1,4,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.953977614,-1.52125941,1.000304395,-1.276626003
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,5.5,5.7,5.4,69,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.505010528,0.958594435,0.579266828,1.050667037
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,6.2,2,6.1,18,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.897856729,-1.036070614,1.000304395,-0.775362886
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,7,5,3,9,-1.204057561,-1.155001925,0.623479632,-0.980716256,1.346823815,0.581225372,-0.864290544,-1.097603461
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,7,1,7,0,-1.204057561,-1.155001925,0.623479632,-0.980716256,1.346823815,-1.575169277,1.541638409,-1.419844036
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,1.8,6.3,1.6,86,-1.204057561,-1.155001925,0.623479632,-0.980716256,-1.571462245,1.282053633,-1.706365678,1.659343678
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,,,,,-1.204057561,-1.155001925,0.623479632,-0.980716256,-2.581638189,-2.114267939,-2.668737259,-1.419844036
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,7,,4.9,33,-1.204057561,-1.155001925,0.623479632,-0.980716256,1.346823815,-2.114267939,0.278525709,-0.238295262
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,6,1,6.1,0,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.785614957,-1.575169277,1.000304395,-1.419844036
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,5.8,5.7,5.3,24,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.673373186,0.958594435,0.519118604,-0.560535837
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,3.6,4.5,4.8,70,-1.204057561,-1.155001925,0.623479632,-0.980716256,-0.561286301,0.311676041,0.218377485,1.086471545
